web_id,url,comp_url
qb1189908,https://www.1stopbedrooms.com/black-and-chrome-tall-upholstered-swivel-barstool-set-of-2,https://www.walmart.com/ip/Home-Square-2-Piece-Faux-Leather-Tufted-Adjustable-Bar-Stool-Set-in-Black-Gray/185495136?selectedSellerId=1795&wmlspartner=wlpa
qb1193257,https://www.1stopbedrooms.com/g907-sofa-white-g907a-s-glory-furniture,https://www.bisonoffice.com/glory-furniture-gallant-sofa-in-black-color/BG3800524/p/?bo=18059&gQT=0
qb1198834,https://www.1stopbedrooms.com/hilliard-weathered-gray-writing-desk,https://www.bisonoffice.com/3-drawer-reversible-office-desk/BG3802198/p/?bo=14529
qb1200948,https://www.1stopbedrooms.com/clementine-white-twin-over-twin-bunk-bed,https://www.bedroomfurniturediscounts.com/homelegance-clementine-queen-panel-bed-in-white-1799-1.html
qb1202398,https://www.1stopbedrooms.com/morgan-creek-antique-white-entertainment-wall-unit,https://www.bisonoffice.com/entertainment-center-with-piers/BG3062548/p/?bo=13279
qb1203143,https://www.1stopbedrooms.com/huston-brown-dresser,https://www.bisonoffice.com/huston-dresser-in-quartz-color/BG3818905/p/?bo=11659
qb1203149,https://www.1stopbedrooms.com/brando-cream-cal-king-platform-bed,https://www.bisonoffice.com/brando-bed-cal-king-60-in-quartz-color/BG3818908/p/?bo=11659
qb1203154,https://www.1stopbedrooms.com/huston-brown-nightstand,https://www.bisonoffice.com/huston-nightstand-in-quartz-color/BG3818910/p/?bo=11659
qb1203155,https://www.1stopbedrooms.com/wilshire-gray-nightstand,https://www.bisonoffice.com/wilshire-nightstand-in-quartz-color/BG3818911/p/?bo=11659
qb1203158,https://www.1stopbedrooms.com/cooper-gray-arm-chair-set-of-2,https://www.bisonoffice.com/cooper-arm-chair-in-quartz-color/BG3818914/p/?bo=11659
qb1203162,https://www.1stopbedrooms.com/robards-brown-extendable-rectangular-dining-table,https://www.walmart.com/ip/Maklaine-Contemporary-Modern-Wood-Top-Butterfly-Leaf-Wood-Dining-Table-in-Gray/2173000309?selectedSellerId=1795&wmlspartner=wlpa
qb1209744,https://www.1stopbedrooms.com/magnolia-manor-antique-white-vanity,https://www.bisonoffice.com/vanity-antique-white-finish/BG3098524/p/?bo=13279
qb1210355,https://www.1stopbedrooms.com/tyler-creek-brown-and-black-chairside-end-table,https://www.walmart.com/ip/Bowery-Hill-Storage-End-Table-with-USB-Ports-in-Gray/919691073?selectedSellerId=1795&wmlspartner=wlpa
qb1214130,https://www.1stopbedrooms.com/artisans-craft-50-dakota-oak-media-console,https://www.bisonoffice.com/rustic-farmhouse-distressed-acacia-media-console-50-inch/BG1235240/p/?bo=15305
qb1214131,https://www.1stopbedrooms.com/artisans-craft-50-washed-gray-media-console,https://www.bisonoffice.com/rustic-farmhouse-distressed-acacia-media-console-50-inch/BG1235248/p/?bo=15305
qb1214132,https://www.1stopbedrooms.com/artisans-craft-50-weathered-white-media-console,https://www.bisonoffice.com/rustic-farmhouse-distressed-acacia-media-console-50-inch/BG1235256/p/?bo=15305
qb1214137,https://www.1stopbedrooms.com/artisans-craft-70-weathered-white-media-console,https://www.bisonoffice.com/rustic-farmhouse-distressed-acacia-media-console-70-inch/BG1235260/p/?bo=15305
